Referencia,Distorsion
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_20_sat_1.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_15_sat_4.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_15_sat_6.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_10_sat_4.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_7_sat_5.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_9_sat_3.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_8_sat_4.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_5_sat_8.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_13_sat_5.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_13_sat_3.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_8_sat_8.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_8_sat_5.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_14_sat_8.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_1_sat_8.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_15_sat_1.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_20_sat_7.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_8_sat_2.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_18_sat_4.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_18_sat_8.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_19_sat_3.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_5_sat_4.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_8_sat_3.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_3_sat_8.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_6_sat_4.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_17_sat_5.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_4_sat_6.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_16_sat_3.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_16_sat_1.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_2_sat_3.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_10_sat_1.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_8_sat_1.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_14_sat_1.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_8_sat_7.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_6_sat_8.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_14_sat_4.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_2_sat_7.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_8_sat_6.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_2_sat_8.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_1_sat_3.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_17_sat_3.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_1_sat_2.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_13_sat_4.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_12_sat_2.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_4_sat_7.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_18_sat_2.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_19_sat_7.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_20_sat_4.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_20_sat_6.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_18_sat_5.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_12_sat_4.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_5_sat_2.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_4_sat_3.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_7_sat_4.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_1_sat_4.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_11_sat_5.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_11_sat_1.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_7_sat_2.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_19_sat_2.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_17_sat_6.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_20_sat_2.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_3_sat_7.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_3_sat_5.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_6_sat_3.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_1_sat_7.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_2_sat_4.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_11_sat_7.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_15_sat_2.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_11_sat_8.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_10_sat_2.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_7_sat_3.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_5_sat_3.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_6_sat_7.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_13_sat_1.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_9_sat_5.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_15_sat_7.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_7_sat_7.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_11_sat_4.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_15_sat_8.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_3_sat_2.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_10_sat_5.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_4_sat_4.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_13_sat_2.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_16_sat_4.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_16_sat_2.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_3_sat_4.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_12_sat_1.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_2_sat_2.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_9_sat_6.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_1_sat_1.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_17_sat_1.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_20_sat_5.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_14_sat_6.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_5_sat_6.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_19_sat_4.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_18_sat_3.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_11_sat_6.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_5_sat_1.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_7_sat_8.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_12_sat_7.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_9_sat_8.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_13_sat_6.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_14_sat_3.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_17_sat_8.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_17_sat_2.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_19_sat_6.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_11_sat_2.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_10_sat_7.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_10_sat_3.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_19_sat_8.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_1_sat_6.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_6_sat_5.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_16_sat_6.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_12_sat_8.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_15_sat_5.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_20_sat_3.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_17_sat_7.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_4_sat_5.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_11_sat_3.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_20_sat_8.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_16_sat_8.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_9_sat_1.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_16_sat_5.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_18_sat_6.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_4_sat_2.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_14_sat_7.png
